capa,registros,crs_original,geometrias_invalidas,geometrias_vacias,estado
PBOT2015_ZONIFICACION_USO_SUELO_RURAL,6,EPSG:4326,0,0,VALIDADA
PBOT2015_PROTECCION_RURAL,3,EPSG:4326,0,0,VALIDADA
PBOT2015_PERIMETRO_EXPANSION,7,EPSG:21897,0,0,VALIDADA
PBOT2015_TRATAMIENTOS_URBANOS,5,EPSG:21897,0,0,VALIDADA
PBOT2015_ZONAS_HOMOGENEAS_URBANAS,16,EPSG:21897,0,0,VALIDADA
PBOT2015_PUNTOS_EXPANSION,54,EPSG:21897,0,0,VALIDADA
PBOT2015_MANZANAS_INSPECCIONES,95,"CRS_CAQUETA_PUERTO_RICO",0,0,VALIDADA
PBOT2015_PLANES_PARCIALES,7,"EPSG:21897",, ,PENDIENTE_DBFFALTANTE
